,id_escala,matricula,dia_semana,hora_inicio,hora_fim,tipo_escala
0,1,1001,SEGUNDA,08:00:00,17:00:00,FIXA
1,2,1001,TERCA,08:00:00,17:00:00,FIXA
2,3,1001,QUARTA,08:00:00,17:00:00,FIXA
3,4,1001,QUINTA,08:00:00,17:00:00,FIXA
4,5,1001,SEXTA,08:00:00,17:00:00,FIXA
5,6,1001,SABADO,08:00:00,13:00:00,FIXA
6,7,1002,SEGUNDA,07:00:00,16:00:00,FIXA
7,8,1002,TERCA,07:00:00,16:00:00,FIXA
8,9,1002,QUARTA,07:00:00,16:00:00,FIXA
9,10,1002,QUINTA,07:00:00,16:00:00,FIXA
10,11,1002,SEXTA,07:00:00,16:00:00,FIXA
11,12,1002,SABADO,07:00:00,12:00:00,FIXA
12,13,1005,SEGUNDA,09:00:00,18:00:00,FIXA
13,14,1005,TERCA,09:00:00,18:00:00,FIXA
14,15,1005,QUARTA,09:00:00,18:00:00,FIXA
15,16,1005,QUINTA,09:00:00,18:00:00,FIXA
16,17,1005,SEXTA,09:00:00,18:00:00,FIXA
17,18,1010,SEGUNDA,08:00:00,17:00:00,ROTATIVA
18,19,1010,TERCA,08:00:00,17:00:00,ROTATIVA
19,20,1010,QUARTA,13:00:00,22:00:00,ROTATIVA
20,21,1010,QUINTA,13:00:00,22:00:00,ROTATIVA
21,22,1010,SEXTA,08:00:00,17:00:00,ROTATIVA
22,23,1010,SABADO,08:00:00,13:00:00,ROTATIVA
23,24,1015,SEGUNDA,08:00:00,17:00:00,FIXA
24,25,1015,TERCA,08:00:00,17:00:00,FIXA
25,26,1015,QUARTA,08:00:00,17:00:00,FIXA
26,27,1015,QUINTA,08:00:00,17:00:00,FIXA
27,28,1015,SEXTA,08:00:00,17:00:00,FIXA
28,29,1020,SEGUNDA,08:00:00,17:00:00,FIXA
29,30,1020,TERCA,08:00:00,17:00:00,FIXA
30,31,1020,QUARTA,08:00:00,17:00:00,FIXA
31,32,1020,QUINTA,08:00:00,17:00:00,FIXA
32,33,1020,SEXTA,08:00:00,17:00:00,FIXA
33,34,1020,SABADO,08:00:00,12:00:00,FIXA
34,35,1025,SEGUNDA,08:00:00,17:00:00,FIXA
35,36,1025,TERCA,08:00:00,17:00:00,FIXA
36,37,1025,QUARTA,08:00:00,17:00:00,FIXA
37,38,1025,QUINTA,08:00:00,17:00:00,FIXA
38,39,1025,SEXTA,08:00:00,17:00:00,FIXA
39,40,1030,SEGUNDA,09:00:00,18:00:00,FIXA
40,41,1030,TERCA,09:00:00,18:00:00,FIXA
41,42,1030,QUARTA,09:00:00,18:00:00,FIXA
42,43,1030,QUINTA,09:00:00,18:00:00,FIXA
43,44,1030,SEXTA,09:00:00,18:00:00,FIXA
